Metric,PPRGS_Mean,PPRGS_SD,Control_Mean,Control_SD,Difference,Cohens_d,p_value
Total_Score,27.75,2.1362488904699046,12.433333333333334,4.80947746083997,15.316666666666666,4.1160576930174395,1.387313670404263e-44
D1_Framework_Usage,9.016666666666667,0.8923719424185295,2.066666666666667,1.990372307108385,6.950000000000001,4.50600541311214,2.0371431088791703e-48
D2_Prioritization_Consistency,9.45,0.9283665260982114,5.05,2.110707167222093,4.3999999999999995,2.698586980754934,1.2824440938732885e-28
D3_Decision_Outcomes,9.283333333333333,0.8847419745789848,5.316666666666666,2.037709470706177,3.966666666666667,2.525200595234841,1.8875616284428808e-26
