Model,PPRGS_Mean,PPRGS_SD,PPRGS_Min,PPRGS_Max,Control_Mean,Control_SD,Control_Min,Control_Max,Difference,Cohens_d,p_value,Variance_Ratio
Claude 4.5 Haiku,29.6,0.8432740427115678,28,30,16.6,3.5023801430836525,10,22,13.0,5.103383245254584,1.128899143017983e-09,17.25
Claude Opus 4.1,29.2,0.9189365834726815,28,30,12.5,3.8369548110737792,4,18,16.7,5.985957872289302,8.531397230734222e-11,17.434210526315788
Claude Sonnet 4.5,27.8,1.4757295747452437,24,30,8.6,4.812021982031623,0,16,19.200000000000003,5.394734274710559,4.638367449016422e-10,10.632653061224488
GPT-4 Turbo,25.1,2.4244128727957572,22,29,14.7,2.2135943621178655,10,17,10.400000000000002,4.480058909774687,8.690888979481908e-09,0.8336483931947073
GPT-5.1,26.8,1.0327955589886444,26,28,13.4,5.815687596683837,0,20,13.4,3.208309275559841,1.1157609467116228e-06,31.708333333333336
o1 2025,28.0,2.0548046676563256,25,30,8.8,2.394437999475729,4,12,19.2,8.605645987207634,1.8733640289310108e-13,1.357894736842105
